X_deg,Y_deg,Pop,Elevation,LandCover,NightLights,Slope,GHI,SolarRestriction,TravelHours,WindVel,SubstationDist,RoadDist,GridDistCurrent,GridDistPlan,Hydropower,HydropowerFID,HydropowerDist,X,Y,Country,VIIRS,Island_Name,Atoll,GHI_GSA,DNI_GSA,PVOUT_GSA,TEMP_GSA,GHI_annual,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections,EducationDemand,HealthDemand,New_Connections_Prod,EnergyPerHH,NumPeoplePerHH,MG_Hydro,MG_PV,MG_Wind,MG_Diesel,SA_Diesel,SA_PV,MG_Hybrid,MinimumOffgrid,MinimumTechLCOE,ElecFuture,Grid,MinGridDist,MinimumOverall,MinimumOverallLCOE,MinimumOverallCode,MinimumCategory,NewCapacity,InvestmentCost
73.018,3.478,884,1.4,7,2,0.3,1986,1,3.8,5.3,12.0,0.4,0.0,0.0,0,0,999,300700,384600,Maldives,2.0,Himandhoo,Alif_Alif,5.559010119975485,4.202729060396869,4.388315556850667,29.170994876168688,2029.0386937910523,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0942227616842058,1368.02503289503,0,1368.459424193877,1,30.27463390018852,0,0,30.27463390018852,880.0,5.5,99,1.0183626513289437,99.0,0.6559663087747662,0.8049932717777768,0.21534634940360572,99,SA_PV,0.21534634940360572,1,0.01,0.0,Grid,0.01,1.0,Grid,1.256730340398029,20619.252138740765
73.401,3.501,4760,1.3,7,11,0.3,2027,1,3.5,5.3,0.5,0.2,0.0,0.0,0,0,999,343000,387000,Maldives,11.0,Dhuvaafaru,Raa,5.553940773010254,4.19652271270752,4.383800029754639,29.17202377319336,2027.188382148743,5,5,5,5,5,5.0,1.2896410004739702,0.0942227616842058,7366.288638665546,0,7368.627668736262,1,163.01725946255374,0,0,163.01725946255374,880.0,5.5,99,0.8655049945585885,99.0,0.5019124811334742,0.7939319350061778,0.2109905524990434,99,SA_PV,0.2109905524990434,1,0.01,0.0,Grid,0.01,1.0,Grid,6.767009525220162,63442.82545792254
73.056,3.575,1654,1.5,7,4,0.3,1985,1,3.5,5.2,7.0,0.4,0.0,0.0,0,0,999,305000,395300,Maldives,4.0,Huraa,Kaafu,5.5536939213707015,4.18532847362307,4.385024364032448,29.174658209617085,2027.0982813003056,5,2,5,5,5,4.73,1.2281939107503848,0.0884882077265474,2559.63054797328,0,2560.4433117835665,1,56.64507293089582,0,0,56.64507293089582,880.0,5.5,99,0.9538065018047515,99.0,0.5829232584052447,0.7939319350061778,0.21545483622950168,99,SA_PV,0.21545483622950168,1,0.01,0.0,Grid,0.01,1.0,Grid,2.351393645948353,30690.339728246123
73.417,3.684,1831,1.2,7,5,0.3,2025,1,3.2,5.3,7.0,0.4,0.0,0.0,0,0,999,346000,407500,Maldives,5.0,Hoarafushi,Haa_Alif,5.549158096313477,4.176505088806152,4.381834030151367,29.17790603637696,2025.442705154419,5,2,5,5,5,4.73,1.2281939107503848,0.0942227616842058,2833.5450624782807,0,2834.444802826911,1,62.70684917561675,0,0,62.70684917561675,880.0,5.5,99,0.9299672696369987,99.0,0.5726910680457833,0.7828705982345785,0.21119893822990657,99,SA_PV,0.21119893822990657,1,0.01,0.0,Grid,0.01,1.0,Grid,2.603024042159267,32819.18305389364
73.455,4.065,4499,1.2,7,12,0.2,2021,1,1.0,5.1,3.0,0.2,0.0,0.0,0,0,999,350000,449000,Maldives,12.0,Maafushi,Kaafu,5.537165641784668,4.132169246673584,4.375127792358398,29.19500160217285,2021.065459251404,5,3,5,5,5,4.82,1.247130848380016,0.082888291793335,6962.380795242919,0,6964.591571774043,1,154.07870805084622,0,0,154.07870805084622,880.0,5.5,99,0.870701894352526,99.0,0.5014737106952305,0.7017541285761858,0.2116169470141321,99,SA_PV,0.2116169470141321,1,0.01,0.0,Grid,0.01,1.0,Grid,6.395961313858291,60929.76499870672
73.423,4.103,1818,1.3,7,6,0.3,2020,1,1.2,5.1,4.0,0.3,0.0,0.0,0,0,999,347000,453200,Maldives,6.0,Thulusdhoo,Kaafu,5.535520076751709,4.122056484222412,4.374523639678955,29.1964168548584,2020.4648280143736,5,3,5,5,5,4.82,1.247130848380016,0.082888291793335,2813.427047288648,0,2814.3203995299423,1,62.26163397120217,0,0,62.26163397120217,880.0,5.5,99,0.9324196228028169,99.0,0.5703481853772729,0.7091283530905851,0.21172170787899064,99,SA_PV,0.21172170787899064,1,0.01,0.0,Grid,0.01,1.0,Grid,2.5845427136240007,32664.68597569142
73.5088,4.1749,137433,1.5,7,65,0.5,2013,1,0.0,5.2,0.5,0.1,0.0,0.0,0,0,999,356000,461500,Maldives,65.0,Male,Kaafu,5.515139102935791,4.056223392486572,4.359485149383545,29.19908332824707,2013.025772571564,5,5,5,5,5,5.0,1.2896410004739702,0.0884882077265474,212683.013965908,1,306153.2269801621,1,89349.65138884488,0,0,89349.65138884488,1903.5,4.5,99,0.18380075020630146,99.0,0.3607797157337008,0.5197942784658867,0.2124579482938704,99,MG_PV,0.18380075020630146,1,0.01,0.0,Grid,0.01,1.0,Grid,9805.651343265201,36530081.847612366
73.529,4.191,6754,1.0,7,30,0.2,2016,1,0.3,5.0,1.5,0.3,0.0,0.0,0,0,999,358100,463300,Maldives,30.0,Villimale,Kaafu,5.524425506591797,4.069056987762451,4.367513656616211,29.199657440185547,2016.4153099060056,5,3,5,5,5,4.82,1.247130848380016,0.0774307595821694,10452.082660829225,0,10455.401528286706,1,231.30642235506093,0,0,231.30642235506093,880.0,5.5,99,0.8528850250976828,99.0,0.4784235190467343,0.6759443427757879,0.21214179063271868,99,SA_PV,0.21214179063271868,1,0.01,0.0,Grid,0.01,1.0,Grid,9.601760994398544,81883.8690709701
73.537,4.2117,65724,1.2,7,55,0.3,2019,1,0.2,5.1,1.0,0.2,0.0,0.0,0,0,999,359000,465600,Maldives,55.0,Hulhumale,Kaafu,5.5303635597229,4.083451271057129,4.372811317443848,29.1456241607666,2018.5826992988584,5,4,5,5,5,4.91,1.2675733140294807,0.082888291793335,101710.49464026353,0,101742.7909453828,1,2250.871084226252,0,0,2250.871084226252,880.0,5.5,99,0.21660693832439468,99.0,0.41192372287834694,0.6722572305185882,0.21182657251885134,99,SA_PV,0.21182657251885134,1,0.01,0.0,Grid,0.01,1.0,Grid,93.43591051167505,515462.909399873
73.446,4.267,2450,1.5,7,7,0.3,2020,1,1.5,5.2,5.0,0.4,0.0,0.0,0,0,999,349000,471700,Maldives,7.0,Kaashidhoo,Kaafu,5.532931327819824,4.113575458526611,4.3736066818237305,29.18552589416504,2019.519934654236,5,3,5,5,5,4.82,1.247130848380016,0.0884882077265474,3791.472093430796,0,3792.676005967194,1,83.90594237043251,0,0,83.90594237043251,880.0,5.5,99,0.9090843390276881,99.0,0.5447157049585684,0.7201896898621842,0.21172170787899056,99,SA_PV,0.21172170787899056,1,0.01,0.0,Grid,0.01,1.0,Grid,3.4830196085692195,39896.7477968928
