Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
NOONU ATOLL,LANDHOO,668.0,0.868,188.9,Ifuru Airport,FENAKA,182.0,305.0,"125, 180",816983.34,64193.0,271730.0,1725.0,,-,Yes,Auto,1995.0,CO2 emission  (tCO2) 723.45,723.45
NOONU ATOLL,KUDAFARI,480.0,0.288,189.3,Ifuru Airport,FENAKA,125.0,298.0,"58 ,80, 160",551599.8,45632.0,183018.0,678.0,,-,No,-,2005.0,CO2 emission  (tCO2) 487.27,487.27
NOONU ATOLL,KEN’DHIKULHUDHOO,1331.0,2.077,196.7,Ifuru Airport,FENAKA,350.0,580.0,"150, 180, 250",1311141.19,132672.94,512434.0,1571.5,,-,Yes,Auto,2009.0,"CO2 emission  (tCO2) 1,364.30",1.0
HAA ALIF ATOLL,VASHAFARU,449.0,0.4,304.7,Hanimaadhoo International Airport,FENAKA,105.0,320.0,"80,80,160",464752.8,40815.0,133742.5,632.5,,-,No,-,2002.0,CO2 emission  (tCO2) 356.08,356.08
RAA ATOLL,HULHUDHUFFAARU,1137.0,0.597,184.5,Ifuru Airport,FENAKA,207.0,620.0,"120, 250, 250",1219160.6,135986.0,349036.0,1883.5,,-,Yes,Manual,1994.0,CO2 emission  (tCO2) 929.27,929.27
HAA ALIF ATOLL,UTHEEMU,593.0,0.5,298.0,Hanimaadhoo International Airport,FENAKA,160.0,560.0,"160,200,200",633476.15,53359.0,196253.0,1150.0,,-,No,-,1998.0,CO2 emission  (tCO2) 522.50,522.5
HAA ALIF ATOLL,ULIGAMU,380.0,1.1,328.7,Hanimaadhoo International Airport,FENAKA,96.0,337.0,"49,128,160",435818.1,36577.0,148053.0,905.0,,-,No,-,2002.0,CO2 emission  (tCO2) 394.18,394.18
HAA ALIF ATOLL,THURAAKUNU,417.0,0.3,331.1,Hanimaadhoo International Airport,FENAKA,120.0,348.0,"60,128,160",479569.0,36892.0,153301.0,730.0,,-,Yes,Manual,2000.0,CO2 emission  (tCO2) 408.15,408.15
HAA ALIF ATOLL,THAKANDHOO,355.0,0.4,302.1,Hanimaadhoo International Airport,FENAKA,70.0,308.0,"32,58,68,150",610954.79,98622.0,112063.0,989.0,,-,No,-,2003.0,CO2 emission  (tCO2) 298.36,298.36
HAA ALIF ATOLL,MURAIDHOO,464.0,0.5,298.9,Hanimaadhoo International Airport,FENAKA,104.0,270.0,"120,150",411432.0,33923.0,138560.0,981.0,,-,No,-,1999.0,CO2 emission  (tCO2) 368.90,368.9
HAA ALIF ATOLL,MULHADHOO,231.0,1.2,320.0,Hanimaadhoo International Airport,FENAKA,65.0,168.0,"60,60,48",291935.0,65118.89,92590.0,446.0,,-,No,-,2012.0,CO2 emission  (tCO2) 246.51,246.51
HAA ALIF ATOLL,MAARANDHOO,668.0,0.4,303.9,Hanimaadhoo International Airport,FENAKA,101.0,250.0,250,577166.6,66754.0,203070.0,843.0,,-,No,-,1991.0,CO2 emission  (tCO2) 540.65,540.65
HAA ALIF ATOLL,KELAA,1063.0,2.0,309.3,Hanimaadhoo International Airport,FENAKA,241.0,636.0,"236,400",1233469.4,104028.0,352882.0,1830.0,,-,Yes,Auto,2007.0,CO2 emission  (tCO2) 939.51,939.51
HAA ALIF ATOLL,IHAVANDHOO,2554.0,0.6,314.1,Hanimaadhoo International Airport,FENAKA,642.0,1200.0,"250,350,600",2754607.24,359448.9,838540.0,3985.0,,-,Yes,Manual,2007.0,"CO2 emission  (tCO2) 2,232.53",2.0
HAA ALIF ATOLL,HOARAFUSHI,1826.0,0.7,317.1,Hanimaadhoo International Airport,FENAKA,520.0,1000.0,"200,200,600",2341956.45,208412.0,726135.0,3609.16,,-,Yes,-,1999.0,"CO2 emission  (tCO2) 1,933.26",1.0
HAA ALIF ATOLL,FILLADHOO,576.0,2.6,301.7,Hanimaadhoo International Airport,FENAKA,122.0,300.0,"60,80,160",548838.0,45300.0,185773.0,1011.0,,-,Yes,Auto,2008.0,CO2 emission  (tCO2) 494.6020352,494.6020352
RAA ATOLL,FAINU,322.0,0.605,152.2,Ifuru Airport,FENAKA,68.0,367.0,"48, 150, 169",659543.42,97124.44,125535.0,700.5,,-,Yes,Manual,2000.0,CO2 emission  (tCO2) 334.22,334.22
