Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Peak_Load_Time,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Monthly_Average_Usage_kWh,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
HAA ALIF ATOLL,THURAAKUNU,417,0.30,331.10,Hanimaadhoo International Airport,FENAKA,12:30,120,348,"60,128,160","39,964.08","479,569.00","36,892.00","153,301.00",730.00,,-,Yes,Manual,2000,CO2 emission  (tCO2) 408.15,408.15
HAA ALIF ATOLL,ULIGAMU,380,1.10,328.70,Hanimaadhoo International Airport,FENAKA,12:00,96,337,"49,128,160","36,318.18","435,818.10","36,577.00","148,053.00",905.00,,-,No,-,2002,CO2 emission  (tCO2) 394.18,394.18
HAA ALIF ATOLL,UTHEEMU,593,0.50,298.00,Hanimaadhoo International Airport,FENAKA,12:40,160,560,"160,200,200","52,789.68","633,476.15","53,359.00","196,253.00","1,150.00",,-,No,-,1998,CO2 emission  (tCO2) 522.50,522.50
HAA ALIF ATOLL,VASHAFARU,449,0.40,304.70,Hanimaadhoo International Airport,FENAKA,12:30,105,320,"80,80,160","38,729.40","464,752.80","40,815.00","133,742.50",632.50,,-,No,-,2002,CO2 emission  (tCO2) 356.08,356.08
NOONU ATOLL,FODHDHOO,228,0.267,175.4,Ifuru Airport,FENAKA,,,148,"48, 100","23,563.79","282,765.45","22,603.00","101,614.00",758.00,,-,No,-,2011,"25, 35",270.54
NOONU ATOLL,HEN’BADHOO,497,0.140,198.5,Ifuru Airport,FENAKA,,,212,"48, 64, 100","42,557.57","510,690.85","39,395.00","163,464.00",779.00,,-,No,-,1996,CO2 emission  (tCO2) 435.21,435.21
NOONU ATOLL,HOLHUDHOO,1682,0.199,178.2,Ifuru Airport,FENAKA,12:30,375,670,"120, 250, 300","158,527.64","1,902,331.65","165,345.00","629,005.00","3,073.00",,-,Yes,Auto,2004,"CO2 emission  (tCO2) 1,674.66",1
NOONU ATOLL,KEN’DHIKULHUDHOO,1331,2.077,196.7,Ifuru Airport,FENAKA,12:00,350,580,"150, 180, 250","109,261.77","1,311,141.19","132,672.94","512,434.00","1,571.50",,-,Yes,Auto,2009,"CO2 emission  (tCO2) 1,364.30",1
NOONU ATOLL,KUDAFARI,480,0.288,189.3,Ifuru Airport,FENAKA,19:30,125,298,"58 ,80, 160","45,966.65","551,599.80","45,632.00","183,018.00",678.00,,-,No,-,2005,CO2 emission  (tCO2) 487.27,487.27
NOONU ATOLL,LANDHOO,668,0.868,188.9,Ifuru Airport,FENAKA,13:00,182,305,"125, 180","68,081.95","816,983.34","64,193.00","271,730.00","1,725.00",,-,Yes,Auto,1995,CO2 emission  (tCO2) 723.45,723.45
