Island_Name,Atoll,Atoll_Code,PCode,Pop,Area_km2,X_deg,Y_deg,GHI_GSA,TEMP_GSA
Uligamu,Haa Alifu,HA,MV001002,400,1.044,72.927468,7.081878,5.487,29.22
Mulhadhoo,Haa Alifu,HA,MV001005,286,1.166,72.998091,7.012298,5.4819,29.22
Thakandhoo,Haa Alifu,HA,MV001013,279,0.405,72.99553,6.84401,5.503,29.22
Kulhudhuffushi,Haa Dhaalu,HDh,MV002012,10131,2.471,73.069118,6.623259,5.4907,29.21
Hanimaadhoo,Haa Dhaalu,HDh,MV002003,2664,2.982,73.173244,6.756432,5.4942,29.22
Nolhivaramu,Haa Dhaalu,HDh,MV002009,1985,2.022,73.082259,6.662332,5.498,29.2
Makunudhoo,Haa Dhaalu,HDh,MV002017,1265,0.792,72.705094,6.409584,5.5224,29.23
Nolhivaranfaru,Haa Dhaalu,HDh,MV002007,1254,1.703,73.12005,6.697325,5.4967,29.19
Nellaidhoo,Haa Dhaalu,HDh,MV002008,1038,0.318,72.946901,6.714911,5.5152,29.22
Kumundhoo,Haa Dhaalu,HDh,MV002013,997,1.867,73.052326,6.572089,5.4858,29.22
Vaikaradhoo,Haa Dhaalu,HDh,MV002015,776,1.054,72.953221,6.549698,5.5051,29.24
Neykurendhoo,Haa Dhaalu,HDh,MV002014,641,1.684,72.979722,6.542973,5.501,29.21
Naivaadhoo,Haa Dhaalu,HDh,MV002005,495,0.303,72.934992,6.746861,5.519,29.25
Kurin'bee,Haa Dhaalu,HDh,MV002010,492,0.402,72.996687,6.665575,5.5106,29.25
Finey,Haa Dhaalu,HDh,MV002004,409,1.152,73.053283,6.745904,5.5149,29.18
Hirimaradhoo,Haa Dhaalu,HDh,MV002006,293,0.457,73.024126,6.724795,5.5082,29.25
Maafushi,Kaafu,K,MV009008,4471,0.411,73.48967,3.940986,5.5334,29.18
Kaashidhoo,Kaafu,K,MV009001,2528,2.788,73.46119,4.955724,5.5191,29.22
Hinmafushi,Kaafu,K,MV009006,2012,0.654,73.571118,4.30802,5.5129,29.2
Thulusdhoo,Kaafu,K,MV009004,1801,0.762,73.648045,4.372974,5.515,29.1
Guraidhoo,Kaafu,K,MV009009,1743,0.222,73.46806,3.900798,5.5391,29.16
Huraa,Kaafu,K,MV009005,1654,0.52,73.601749,4.333408,5.5106,29.2
Gaafaru,Kaafu,K,MV009002,1294,0.192,73.499742,4.736055,5.5216,29.17
Dhiffushi,Kaafu,K,MV009003,1270,0.267,73.71419,4.441725,5.513,29.09
Gulhi,Kaafu,K,MV009007,976,0.112,73.509039,3.990683,5.5437,29.19
Gan,Laamu,L,MV015013,4815,6.039,73.542167,1.918391,5.5555,29.16
Fonadhoo,Laamu,L,MV015008,2986,1.703,73.500514,1.83306,5.5449,29.15
Maavah,Laamu,L,MV015007,1379,0.396,73.243495,1.885649,5.5927,29.16
Hithadhoo,Laamu,L,MV015011,1108,1.045,73.388493,1.797066,5.5492,29.18
Isdhoo,Laamu,L,MV015001,929,1.459,73.577857,2.123803,5.5548,29.12
Maamendhoo,Laamu,L,MV015010,879,0.222,73.389484,1.817448,5.5619,29.16
Kalaidhoo,Laamu,L,MV015005,655,2.117,73.560152,2.114926,5.5549,29.11
Dhan'bidhoo,Laamu,L,MV015002,606,0.535,73.545036,2.094649,5.5558,29.15
Kunahandhoo,Laamu,L,MV015012,601,0.916,73.368169,1.782924,5.5508,29.18
Maabaidhoo,Laamu,L,MV015003,565,0.524,73.532524,2.029047,5.5497,29.16
Mundoo,Laamu,L,MV015004,176,0.24,73.534169,2.012503,5.5543,29.17
Naifaru,Lhaviyani,Lh,MV005002,4832,0.574,73.365218,5.444458,5.5187,29.1
Hinnavaru,Lhaviyani,Lh,MV005001,2286,0.532,73.41135,5.492583,5.5204,29.22
Kurendhoo,Lhaviyani,Lh,MV005003,1171,0.224,73.463678,5.333846,5.5146,29.22
Olhuvelifushi,Lhaviyani,Lh,MV005004,703,0.284,73.606762,5.278509,5.5073,29.22
Maale,Male,K,MV021001,138637,2.056,73.509493,4.174223,5.5153,29.2
Hulhumaale,Male,K,MV021003,65714,4.028,73.542893,4.222899,5.5306,29.17
Vilin'gili,Male,K,MV021002,6755,0.325,73.485226,4.173247,5.5115,29.2
Mulah,Meemu,M,MV013004,1426,0.677,73.584624,2.946653,5.5556,29.14
Dhiggaru,Meemu,M,MV013008,1099,0.143,73.565307,3.112004,5.5623,29.14
